X;Y;OBJECTID;StopID;EasyGo;Street;CrossStreet;Easting;Northing;Longitude;Latitude;Municipality;Status;RMWID
557223.1662;4801527.9229;4835;11220;2172;Alison Ave;Hilltop Dr;557223.1661731;4801527.92287735;-80.29376002;43.36443303;Cambridge;Active;BS11220
557137.2692;4801815.8443;7520;11219;2171;Alison Ave;Lauris Ave;557137.26921307;4801815.84427178;-80.29479004;43.36703197;Cambridge;Active;BS11219
556941.4057;4802011.4445;7361;11218;2170;Alison Ave;Radford Ave;556941.40567351;4802011.44445793;-80.29718694;43.368808;Cambridge;Active;BS11218
538964.8511;4811994.9801;6551;13386;6117;Allen Station;ION platform - Northbound;538964.852;4811994.993;-80.518345;43.459849;Waterloo;Active;BS13386
538961.373;4811992.6325;6015;13385;6007;Allen Station;ION platform - Southbound;538961.381;4811992.665;-80.518389;43.459829;Waterloo;Active;BS13385
541841.5826;4808139.7171;5818;12111;3052;Alpine Rd;Ottawa St S;541841.5826152;4808139.71706576;-80.48308252;43.42498098;Kitchener;Active;BS12111
541850.866;4808174.8981;6702;12112;3053;Alpine Rd;Ottawa St S;541850.866;4808174.581;-80.482965;43.425294;Kitchener;Active;BS12112
551703.9835;4804837.4392;5855;10435;1412;Argyle St S;Hamilton St;551703.9835;4804837.43923486;-80.36156;43.39463202;Cambridge;Active;BS10435
551580.8483;4804661.685;5854;10434;1411;Argyle St S;Vine St;551580.8483;4804661.68500913;-80.36309695;43.39305802;Cambridge;Active;BS10434
558271.0505;4806094.5674;8010;14448;4186;Arthur Fach Dr;Coulthard Blvd;558271.0505;4806094.5674;-80.28034193;43.40546947;Cambridge;Active;BS14448
558228.0094;4806259.9932;7996;14447;4185;Arthur Fach Dr;Garth Massey Dr;558228.0094;4806259.9932;-80.28085583;43.40696227;Cambridge;Active;BS14447
535393.8519;4826367.0869;7238;12855;3824;Arthur St S;232 Arthur St S;535393.85186388;4826367.08693734;-80.56154998;43.589433;Woolwich;Active;BS12855
535458.4333;4826933.1717;7055;12845;3814;Arthur St S;Brubacher St;535458.43331641;4826933.17171242;-80.56071292;43.59452689;Woolwich;Active;BS12845
535325.8256;4825422.118;7142;13134;3811;Arthur St S;Earl Martin Dr;535325.82564442;4825422.11800606;-80.56245428;43.58092782;Woolwich;Active;BS13134
535299.0175;4825405.8416;7462;13133;3826;Arthur St S;Earl Martin Dr;535299.0175016;4825405.84163363;-80.56278738;43.58078254;Woolwich;Active;BS13133
535442.0852;4826715.388;6032;12923;3873;Arthur St S;First St;535442.08519955;4826715.38796992;-80.5609297;43.59256677;Woolwich;Active;BS12923
535923.6556;4822442.3958;4572;12870;3840;Arthur St S;Gerrat Dr;535923.65560575;4822442.39579687;-80.55524722;43.55407005;Woolwich;Active;BS12870
535913.5874;4822523.1894;7088;12869;3837;Arthur St S;Gerrat Dr;535913.58742986;4822523.18935158;-80.55536652;43.554798;Woolwich;Active;BS12869
535507.0178;4827174.8225;6375;12846;3815;Arthur St S;Hampton St;535507.017831;4827174.8225251;-80.56009518;43.59670037;Woolwich;Active;BS12846
535281.4857;4824968.9915;5645;12841;3810;Arthur St S;Listowel Rd;535281.48574366;4824968.99151562;-80.56303297;43.57685001;Woolwich;Active;BS12841
535266.3711;4825017.0017;5924;12858;3827;Arthur St S;Listowel Rd;535266.37111107;4825017.00174328;-80.56321703;43.577283;Woolwich;Active;BS12858
535663.6724;4827468.3128;6039;12848;3817;Arthur St S;Mill St;535663.67238094;4827468.312786;-80.55813507;43.59933544;Woolwich;Active;BS12848
535403.5242;4826324.6056;3948;12844;3813;Arthur St S;Oriole Pky;535403.52423924;4826324.6055843;-80.56143295;43.58905004;Woolwich;Active;BS12844
535642.045;4823277.2703;6545;12939;3884;Arthur St S;Rail Tracks;535642.045;4823277.2703;-80.55867874;43.56160072;Woolwich;Active;BS12939
535641.524;4823224.9882;6691;12940;3885;Arthur St S;Rail Tracks;535641.524;4823224.9882;-80.55868863;43.56113;Woolwich;Active;BS12940
535413.2378;4823885.4921;4263;12872;3839;Arthur St S;Scotch Line;535413.23784382;4823885.4920588;-80.56147203;43.56708801;Woolwich;Active;BS12872
535428.3195;4823890.4411;4618;12871;3838;Arthur St S;Scotch Line;535428.31949304;4823890.44105145;-80.56128496;43.56713186;Woolwich;Active;BS12871
535353.975;4825769.0287;6086;12843;3812;Arthur St S;Southfield Dr;535353.97496087;4825769.02867037;-80.56208299;43.58405003;Woolwich;Active;BS12843
535339.957;4825816.9389;5517;12856;3825;Arthur St S;Whippoorwill Dr;535339.95702556;4825816.93891838;-80.5622535;43.58448208;Woolwich;Active;BS12856
535581.8819;4827315.6339;5100;12847;3816;Arthur St S;Wyatt St;535581.88185136;4827315.63386336;-80.55915844;43.59796465;Woolwich;Active;BS12847
555756.2971;4803059.794;8381;14830;4300;Avenue Rd;Gail St (School Special);555756.2971;4803059.794;-80.31170664;43.37833614;Cambridge;Active;BS14830
557810.5025;4806111.1988;7987;14446;4184;Baintree Way;Can-Amera Pky;557810.5025;4806111.1988;-80.28602758;43.40565487;Cambridge;Active;BS14446
555591.0886;4810101.1102;5581;12892;3856;Baldwin Dr;Guelph Ave;555590.974;4810101.093;-80.313031;43.441747;Cambridge;Active;BS12892
556111.2965;4810535.5594;6665;12890;3854;Baldwin Dr;Henwood Dr;556111.29652822;4810535.55939898;-80.30655702;43.44561982;Cambridge;Active;BS12890
556058.7293;4810754.7348;4526;12889;3853;Baldwin Dr;Horton Walk;556058.72927084;4810754.73478647;-80.3071841;43.44759715;Cambridge;Active;BS12889
556014.7872;4810931.8587;4929;12888;3852;Baldwin Dr;Osgoode St;556014.78716658;4810931.8587334;-80.30770894;43.44919522;Cambridge;Active;BS12888
556056.5689;4810096.9287;6573;12891;3855;Baldwin Dr;Silverthorne Dr;556056.56885963;4810096.928681;-80.30727838;43.44167461;Cambridge;Active;BS12891
537671.3128;4817584.6546;7147;10224;1217;Bathurst Dr;Rankin St;537671.3128;4817584.65457605;-80.53394798;43.51024497;Waterloo;Active;BS10224
543614.4804;4804928.9506;3891;10842;1809;Battler Rd;Old Huron Rd;543614.48036808;4804928.95060799;-80.46143702;43.39597;Kitchener;Active;BS10842
536712.5461;4814840.9907;8474;14952;5095;Bearinger Rd;Wes Graham Way;536712.5461;4814840.9907;-80.54599417;43.4855887;Waterloo;Detour;BS14952
543911.3702;4805577.1915;7587;13996;2386;Beasley Dr;Homer Watson Blvd;543911.3702;4805577.1915;-80.45771906;43.40178948;Kitchener;Active;BS13996
543920.807;4805602.5695;7588;14002;2399;Beasley Dr;Homer Watson Blvd;543920.807;4805602.5695;-80.45760049;43.40201743;Kitchener;Active;BS14002
534007.0026;4813273.0651;8190;14614;5025;Beaver Creek Rd;Pineland Crt (Temporary Stop);534007.0026;4813273.0651;-80.57954926;43.47159891;Waterloo;Detour;BS14614
552298.4263;4804218.6415;6548;10428;1405;Beck St;Homuth Ave;552298.4263;4804218.746;-80.354281;43.38902;Cambridge;Active;BS10428
545000.4749;4804274.7838;3914;10784;1752;Bechtel Dr;Anvil St;545000.47486073;4804274.78376176;-80.44437699;43.38999798;Kitchener;Active;BS10784
545359.5072;4804494.759;4313;10856;1823;Bechtel Dr;Doon Valley Dr;545359.50716723;4804494.75898644;-80.43992597;43.39195702;Kitchener;Active;BS10856
